Date,Unnamed: 0,Id,Ts Code,Amount_x,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,r5,Ret,PE,PB,PS,Turnover,CirculatedMarketValue,ChangeRatio,Liquidility,MA_5,MA_7,MA_21,20sd,upper_band,lower_band,RSI,EMA_12,EMA_26,MACD,Signal_Line,W%R,K,D,J,up_move,down_move,plus_dm,minus_dm,TR,plus_di,minus_di,DX,ADX,ADXR,momentum
2020-05-19,854,226,601318.SH,2493797.102,0.7,72.9,73.6,72.61,73.18,0.9695,72.2,341583.23,0.413733504,0.94401255,2.8,4.82,6.46,34.2,5.54,3.017833,8.919459,1.56344,1.277249,0.00316,1332050000000.0,0.0097,2e-06,72.422,72.52571428571429,73.37344422735512,0.7453064172487869,74.86405706185269,71.88283139285755,43.647623809955476,72.82064775610536,72.77145896911314,0.04918878699221807,0.23616780231990472,-61.09324758842417,38.90675241157582,25.810300592670675,65.09965604938611,0.6199999999999903,0.9200000000000017,0.0,0.9200000000000017,0.9899999999999949,13.303049967553452,32.77363524755117,42.25691407509274,23.307494032552906,20.579063045491647,71.9
2020-05-20,855,225,601318.SH,2000585.096,0.05,72.95,73.19,72.5,73.0,0.0686,72.9,274834.84,0.428842655,0.952010756,2.12,4.71,6.31,33.78,6.9,3.015764,8.925577,1.564513,1.278125,0.00254,1332960000000.0,0.00069,2e-06,72.566,72.47000000000001,73.32344422735511,0.701285965442074,74.72601615823926,71.92087229647096,41.74664107485604,72.84054810131991,72.7846842306603,0.05586387065960707,0.2001070159878452,-59.48553054662362,40.51446945337638,31.939978563772986,57.663451232583164,-0.4099999999999966,0.10999999999999943,0.0,0.10999999999999943,0.6899999999999977,13.64846870838873,34.25432756324924,43.01598332175176,25.799170389279134,20.593176387273832,71.95
2020-05-21,856,224,601318.SH,2277526.278,-0.57,72.38,73.3,72.36,73.2,-0.7814,72.95,312686.23,0.406063367,0.999999868,2.8,4.79,6.13,32.87,6.7,3.039514,8.855836,1.552288,1.268139,0.00289,1322550000000.0,-0.00781,2e-06,72.599,72.49142857142859,73.2243966083075,0.6684562925632374,74.56130919343397,71.88748402318103,41.826923076923,72.76969454727069,72.75470762098176,0.014986926288926838,0.16308299804806153,-77.81350482315119,22.186495176848805,33.86923901393368,-1.178992497320948,0.10999999999999943,0.14000000000000057,0.0,0.14000000000000057,0.9399999999999977,13.60318513603177,34.47246184472485,43.40924775707436,27.637871270493775,20.524439294518984,71.38
2020-05-22,857,223,601318.SH,4091224.714,-2.26,70.12,72.1,70.1,72.06,-3.1224,72.38,577194.22,0.433709994,0.95884369,2.3,4.69,6.19,31.77,7.37,3.137479,8.57932,1.503819,1.228542,0.00533,1281250000000.0,-0.03122,3e-06,72.11000000000001,72.19000000000001,73.01772994164082,0.9263023847531704,74.87033471114717,71.16512517213448,30.208333333333343,72.36204923230596,72.55954409350164,-0.19749486119567905,0.09096742619931342,-99.57446808510616,0.42553191489383446,21.04216551503968,-40.80773528539786,-1.2000000000000028,2.260000000000005,0.0,2.260000000000005,2.0,12.94191919191912,42.32954545454573,53.16961736150814,30.714379015485427,21.948986155005073,69.12
2020-05-23,858,222,601318.SH,2589564.4525,-0.3299999999999999,71.205,71.69,70.68,71.6,-0.4548999999999999,71.535,364893.69,0.412341729,0.898298367,2.55,4.734999999999999,6.359999999999999,32.185,7.28,3.0905125,8.7120725,1.5270885,1.247552,0.00337,1301080000000.0,-0.004545,2.5e-06,71.911,72.04571428571428,72.884848961701,0.9760284344497362,74.83690583060047,70.93279209280152,34.65539661898566,72.18404165810504,72.459207493983,-0.2751658358779565,0.01774077378385943,-76.4893617021276,23.51063829787241,15.37422179653836,39.78347130054051,-0.4099999999999966,0.5800000000000125,0.0,0.5800000000000125,1.009999999999991,7.0051413881747555,46.81876606683842,73.97014925373169,35.06945452149287,23.70761691812467,70.205
2020-05-24,859,221,601318.SH,3001901.1840000004,-0.8899999999999999,70.315,71.55,70.21,71.525,-1.2185,71.205,424161.35,0.392435798,0.854922626,2.45,4.73,6.495,32.035,8.01,3.128802,8.603179,1.508001,1.2319585,0.003915,1284815000000.0,-0.012185,3e-06,71.394,71.72428571428571,72.7123016636513,1.093746422949551,74.8997945095504,70.5248088177522,31.48257531010036,71.89649678762734,72.30037730924352,-0.4038805216161734,-0.06658348529614713,-95.42553191489354,4.574468085106453,9.50354609929091,-5.283687943262461,-0.14000000000000057,0.4700000000000131,0.0,0.4700000000000131,1.3400000000000034,6.874802901292916,47.68211920529842,74.79768786127202,39.795523645872585,26.07412399647134,69.315
2020-05-25,860,220,601318.SH,2901602.627,-0.09,70.03,70.08,69.0,70.0,-0.1284,70.12,417101.15,0.438879469,0.999999997,2.3,4.68,6.59,31.5,7.86,3.141511,8.568309,1.501889,1.226965,0.00385,1279610000000.0,-0.00128,3e-06,70.80999999999999,71.41428571428571,72.52948793473914,1.2165744347369107,74.96263680421296,70.09633906526531,26.68674698795172,71.60934343568468,72.13220121226252,-0.5228577765778368,-0.15783834355248508,-80.67542213883675,19.324577861163256,15.803228081380716,26.367277420728335,-1.4699999999999989,1.2099999999999937,0.0,1.2099999999999937,1.0799999999999983,0.6559527714004234,57.52705805182067,97.74520856820757,46.50440607106054,29.20006079882911,69.03
2020-05-26,861,219,601318.SH,1912577.654,0.48,70.51,71.0,70.32,70.99,0.6854,70.03,271128.48,0.460133598,0.999999986,2.6,4.77,6.8,32.3,8.65,3.120125,8.627038,1.512183,1.235375,0.0025,1288380000000.0,0.00685,3e-06,70.43599999999999,71.07285714285715,72.38309523809524,1.2495696890877703,74.88223461627078,69.8839558599197,30.457142857142813,71.44021367634858,72.01203815950234,-0.5718244831537618,-0.24063557147274042,-69.37119675456384,30.628803245436163,18.175949730568632,55.53451027517123,0.9200000000000017,1.3199999999999932,0.0,1.3199999999999932,0.6800000000000068,0.6637902422834021,64.5867905741789,97.9654120040693,52.527875050346886,32.14395120302102,69.51
2020-05-27,862,218,601318.SH,2036204.894,0.14,70.65,71.58,70.52,70.72,0.1986,70.51,287152.14,0.496407878,0.999841168,2.4,4.77,6.65,32.42,8.32,3.113942,8.644167,1.515186,1.237828,0.00265,1290940000000.0,0.00199,2e-06,70.542,70.74428571428571,72.23261904761905,1.2825236993778222,74.79766644637469,69.66757164886342,33.795180722891544,71.31864234152572,71.91114644398365,-0.5925041024579372,-0.3110092776697798,-64.13043478260853,35.869565217391475,28.60764877466364,50.39339810284714,0.5799999999999983,0.20000000000000284,0.5799999999999983,0.0,1.0600000000000023,4.580666891209121,60.020208824520424,85.81856100104295,55.31232130656122,34.16571824626779,69.65
2020-05-28,863,217,601318.SH,2961421.771,0.86,71.51,71.99,70.68,70.68,1.2173,70.65,414260.45,0.475776347,0.999999996,2.3,4.73,6.53,31.42,8.75,3.076493,8.74939,1.53363,1.252896,0.00383,1306650000000.0,0.01217,3e-06,70.603,70.62,72.15071428571429,1.2768943357728892,74.70450295726006,69.59692561416851,45.527950310559,71.34808198129099,71.88143189257747,-0.5333499112864786,-0.3554774043931196,-45.43478260869547,54.56521739130452,40.354528618044064,82.98659493782544,0.4099999999999966,0.1600000000000108,0.4099999999999966,0.0,1.309999999999988,7.112561174551334,55.00815660685192,77.10084033613475,58.330511617450206,36.314378915354695,70.51
2020-05-29,864,216,601318.SH,1901686.644,-0.8,70.71,71.3,70.48,70.9,-1.1187,71.51,268441.15,0.355947836,0.535026427,2.3,4.8,6.51,31.3,8.12,3.1113,8.651508,1.516473,1.238879,0.00248,1292030000000.0,-0.01119,3e-06,70.68199999999999,70.70428571428572,72.04309523809523,1.2651756690974454,74.57344657629012,69.51274389990034,41.41242937853101,71.24991552263084,71.79465915979395,-0.5447436371631085,-0.3933306509471174,-62.826086956521834,37.173913043478166,42.53623188405806,26.449275362318375,-0.6899999999999977,0.20000000000000284,0.0,0.20000000000000284,0.8199999999999932,6.502463054187174,56.68308702791499,79.41787941787959,61.67247175620146,39.08240877034109,69.71
2020-05-30,865,215,601318.SH,3128820.3600000003,1.155,71.83500000000001,72.11,70.95500000000001,71.04,1.63395,70.68,435966.645,0.467186289,0.594668179,2.5,4.82,6.605,32.025000000000006,8.625,3.0626365,8.789154,1.5406,1.25859,0.00403,1312590000000.0,0.01634,4.5e-06,71.043,70.79428571428572,71.96071428571429,1.2161294025210132,74.39297309075631,69.52845548067226,48.09236947791167,71.33992851914917,71.79764737017958,-0.4577188510304069,-0.4062082909637753,-38.369565217391056,61.630434782608944,51.123188405797215,82.6449275362324,0.8100000000000023,0.4750000000000085,0.8100000000000023,0.0,1.154999999999987,11.749347258485658,54.69973890339468,64.63654223968584,63.84177775965448,41.384052554360764,70.83500000000001
2020-05-31,866,214,601318.SH,3935067.8465,0.66,72.495,72.91499999999999,71.245,71.46000000000001,0.9096,71.83500000000001,539482.21,0.41211947,0.58170627,2.55,4.85,6.55,32.05,8.385,3.036533,8.869906499999999,1.5547545,1.2701535000000002,0.004985,1324650000000.0,0.0090949999999999,4.5e-06,71.44000000000001,71.10571428571428,71.91523809523811,1.1313040914627157,74.17784627816354,69.65262991231268,49.659201557935766,71.51763182389544,71.84930312053665,-0.3316712966412041,-0.3913008920992611,-24.02173913043459,75.9782608695654,58.26086956521752,111.41304347826116,0.8049999999999926,0.28999999999999204,0.8049999999999926,0.0,1.6699999999999875,16.245712503897707,49.360773308388254,50.47528517110296,65.5810034057242,42.46526967652037,71.495
2020-06-01,867,213,601318.SH,3296218.949,1.45,72.16,72.23,71.23,71.4,2.0506,70.71,457672.84,0.46320171,0.500002212,2.7,4.91,6.68,32.63,8.5,3.04878,8.828918,1.54757,1.264284,0.00423,1318530000000.0,0.02051,6e-06,71.742,71.41,71.83238095238096,1.0210888151443303,73.87455858266962,69.7902033220923,49.804687499999964,71.6164576971423,71.8723177042006,-0.2558600070583026,-0.3642127150910694,-31.304347826086946,68.69565217391306,68.76811594202916,68.55072463768087,-0.6849999999999881,0.015000000000000568,0.0,0.015000000000000568,1.0,16.54493489996823,45.88758335979705,46.998982706002316,66.484165076754,43.681983021792746,71.16
2020-06-02,868,212,601318.SH,5968449.049,2.12,74.28,74.53,72.01,72.02,2.9379,72.16,810523.27,0.536902908,0.81910367,2.8,4.9,6.59,32.8,8.65,2.961766,9.088305,1.593036,1.301428,0.00749,1357270000000.0,0.02938,6e-06,72.296,71.94857142857144,71.84904761904761,1.1164027051166754,74.08185302928096,69.61624220881426,55.91766723842192,72.02623343604348,72.05066454092648,-0.024431104882992827,-0.2962563930494541,-4.520795660036166,95.47920433996383,80.05103912781412,126.33553476426326,2.299999999999997,0.7800000000000011,2.299999999999997,0.0,2.519999999999996,28.393632416787273,36.49782923299589,12.488849241748737,64.35787473151514,43.832684382034024,73.28
2020-06-03,869,211,601318.SH,7515763.784,0.73,75.01,76.69,75.0,75.0,0.9828,74.28,991488.4,0.469913786,0.214670134,2.11,4.95,6.65,32.55,9.52,2.932942,9.177622,1.608692,1.314218,0.00916,1370600000000.0,0.00983,4e-06,73.15599999999999,72.57142857142857,71.92857142857143,1.3289351693000113,74.58644176717145,69.27070108997141,58.346839546191234,72.48527444588295,72.26987457493192,0.21539987095103186,-0.19392514024935692,-21.846553966189767,78.15344603381024,80.77610084922905,72.90813640297262,2.1599999999999966,2.989999999999995,0.0,2.989999999999995,1.6899999999999977,26.83994528043776,50.259917920656875,30.37615330021313,63.455029729976665,44.6271000596279,74.01
2020-06-04,870,210,601318.SH,3410379.332,0.13,75.14,75.71,74.58,75.42,0.1733,75.01,453880.22,0.485848582,0.5000081,2.9,5.7,6.76,32.3,8.74,2.927868,9.193527,1.61148,1.316495,0.00419,1372980000000.0,0.00173,3e-06,73.81700000000001,73.09,72.06714285714285,1.5120921372624632,75.09132713166778,69.04295858261793,61.596638655462186,72.89369376190096,72.4824764582703,0.41121730363066433,-0.07289665147335267,-20.15604681404418,79.84395318595581,84.49220118657664,70.54745718471418,-0.980000000000004,0.4200000000000017,0.0,0.4200000000000017,1.1299999999999955,26.563769293257515,51.25913891145435,31.73277661795429,62.620996077182376,45.12943367383808,74.14
2020-06-05,871,209,601318.SH,2618665.525,0.16,75.3,75.44,74.4,75.14,0.2129,75.14,349807.54,0.394402031,0.952518687,2.8,5.2,6.71,32.17,8.36,2.921647,9.213104,1.614912,1.319299,0.00323,1375900000000.0,0.00213,3e-06,74.378,73.74571428571429,72.21333333333334,1.677183004009843,75.56769934135302,68.85896732531366,76.42857142857133,73.26389472160851,72.69118190580583,0.5727128158026744,0.056225241981852754,-18.075422626788047,81.92457737321195,79.97399219765934,85.82574772431715,-0.269999999999996,0.1799999999999926,0.0,0.1799999999999926,1.039999999999992,28.02056555269925,42.187946301057025,20.179007323027022,60.26452393157658,45.489451473531005,74.3
2020-06-06,872,208,601318.SH,4647360.6075,0.7749999999999999,75.93,76.465,75.14,75.56,1.02955,75.155,610427.35,0.418662641,0.503934816,2.8,5.34,6.805,32.22,8.635,2.8977190000000004,9.290185,1.6284225,1.3303365,0.00564,1387415000000.0,0.0102949999999999,3e-06,75.132,74.3307142857143,72.3902380952381,1.871816666121757,76.13387142748162,68.64660476299458,75.28089887640442,73.67406476443797,72.93109435722764,0.7429704072103362,0.19357427502754948,-9.882964889466725,90.11703511053327,83.96185522323368,102.42739488513243,1.0250000000000057,0.7399999999999949,1.0250000000000057,0.0,1.3250000000000028,33.27721661054999,38.187429854096585,6.870828425598756,55.47171530099566,45.27058491124427,74.93
