Date,Unnamed: 0,Id,Ts Code,Amount_x,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,Ret,PE,PB,PS,Turnover,CirculatedMarketValue,ChangeRatio,Liquidility,MA_5,MA_7,MA_21,20sd,upper_band,lower_band,RSI,EMA_12,EMA_26,MACD,Signal_Line,W%R,K,D,J,up_move,down_move,plus_dm,minus_dm,TR,plus_di,minus_di,DX,ADX,ADXR,momentum
2/5/2018,20,1060,601398.SH,3129790.805,0.15,7.75,7.77,7.46,7.48,1.97,7.6,4080189.69,0.548040715,0.000738857,7.16,96.9,11.7,13.13,3.233548,9.656207,1.290087,3.85886,0.00151,2.76E+12,0.01974,6.00E-06,7.666,7.584285714,7.334761905,0.244488725,7.823739356,6.845784454,66.95906433,7.50457482,7.272324151,0.232250669,0.214079432,-3.03030303,96.96969697,91.17380704,108.5614768,0.11,0.04,0.11,0,0.31,15.64792176,22.73838631,18.47133758,,,6.75
2/6/2018,21,1059,601398.SH,5121172.363,-0.18,7.57,7.65,7.4,7.59,-2.32,7.75,6795771.75,0.628711369,1.90E-08,6.77,95.42,11.1,11.82,3.310436,9.431934,1.260124,3.769234,0.00252,2.70E+12,-0.02323,6.00E-06,7.644,7.625714286,7.381428571,0.193811493,7.769051557,6.993805586,52.5477707,7.514640233,7.294374214,0.220266019,0.215316749,-31.25,68.75,81.6766806,42.8966388,-0.12,0.06,0,0.06,0.25,11.73469388,25.25510204,36.55172414,,,6.57
2/7/2018,22,1058,601398.SH,4666865.512,-0.44,7.13,7.67,7,7.57,-5.81,7.57,6369817.42,0.370729758,0.452579129,6.8,91.2,11.23,11.49,3.514727,8.883711,1.18688,3.550151,0.00236,2.54E+12,-0.05812,7.00E-06,7.55,7.575714286,7.400952381,0.193811493,7.788575367,7.013329395,42.96875,7.455464812,7.282198346,0.173266466,0.206906693,-83.11688312,16.88311688,60.86760462,-71.08585859,0.02,0.4,0,0.4,0.67,10.87470449,28.36879433,44.57831325,,,6.13
2/8/2018,23,1057,601398.SH,3715985.911,-0.31,6.82,7.08,6.69,7.05,-4.35,7.13,5409203.79,0.536887278,0.550923049,6.88,94,11.32,11.82,3.674487,8.497463,1.135277,3.395796,0.00201,2.43E+12,-0.04348,8.00E-06,7.371,7.452857143,7.386190476,0.226633834,7.839458144,6.932922808,37.8440367,7.357700995,7.247961432,0.109739563,0.187473267,-87.96296296,12.03703704,32.55671797,-29.00232484,-0.59,0.31,0,0.31,0.39,10.62355658,30.94688222,48.88888889,,,5.82
2/9/2018,24,1056,601398.SH,3985698.498,-0.14,6.68,6.72,6.43,6.58,-2.05,6.82,6043811.55,0.4594967,0.999999875,6.57,91.9,11.37,11.19,3.751497,8.323028,1.111972,3.326088,0.00224,2.38E+12,-0.02053,7.00E-06,7.19,7.321428571,7.365238095,0.27340735,7.912052795,6.818423396,35,7.253439303,7.205890215,0.047549089,0.159488431,-81.34328358,18.65671642,15.85895678,24.2522357,-0.36,0.26,0,0.26,0.29,10.59907834,33.640553,52.08333333,,,5.68
2/10/2018,25,1055,601398.SH,3030210.269,-0.19,6.715,6.895,6.605,6.845,-2.7,6.905,4476813.1,0.466425822,0.457527851,6.775,93.94,11.4,11.735,3.732856,8.366637,1.117798,3.343515,0.00166,2.39E+12,-0.02698,7.50E-06,6.983,7.178571429,7.34452381,0.310750789,7.966025387,6.723022232,35.42116631,7.170602488,7.169527976,0.001074511,0.127805647,-78.73134328,21.26865672,17.32080339,29.16436337,0.175,0.175,0,0.175,0.29,10.64814815,37.26851852,55.55555556,,,5.715
2/11/2018,26,1054,601398.SH,3425721.42,0.025,6.74,6.8,6.535,6.62,0.41,6.715,5141453.015,0.507185595,0.463599592,6.615,92.945,11.34,11.505,3.7183955,8.3977855,1.1219595,3.355963,0.001905,2.40E+12,0.004105,7.00E-06,6.817,7.057857143,7.317619048,0.337342556,7.992304159,6.642933936,37.14285714,7.104355951,7.137711089,-0.033355138,0.09557349,-76.86567164,23.13432836,21.0199005,27.36318408,-0.095,0.07,0,0.07,0.265,10.59907834,38.59447005,56.90866511,37.32529693,,5.74
2/12/2018,27,1053,601398.SH,2344434.626,-0.07,6.61,6.71,6.52,6.64,-1.05,6.68,3544422.41,0.506341519,0.472994322,6.67,93.88,11.48,11.65,3.791225,8.235811,1.100319,3.291234,0.00131,2.36E+12,-0.01048,7.00E-06,6.713,6.895,7.290952381,0.370453492,8.031859364,6.550045398,32.17391304,7.028301189,7.098621379,-0.07032019,0.062394754,-86.56716418,13.43283582,19.27860697,1.741293532,-0.09,0.015,0,0.015,0.19,6.071428571,40.23809524,73.77892031,42.18552975,,5.61
2/13/2018,28,1052,601398.SH,2865744.342,0.19,6.8,6.88,6.64,6.66,2.87,6.61,4239094.48,0.495956837,0.490651264,6.66,93.99,11.31,11.82,3.685294,8.472543,1.131947,3.385838,0.00157,2.42E+12,0.02874,7.00E-06,6.709,6.785,7.258095238,0.384343596,8.026782431,6.489408046,39.74358974,6.993177929,7.076501277,-0.083323347,0.033251134,-72.3880597,27.6119403,21.39303483,40.04975124,0.17,0.12,0.17,0,0.24,10.04728132,36.40661939,56.74300254,45.36024537,,5.8
2/14/2018,29,1051,601398.SH,1234093.936,0.08,6.88,6.9,6.73,6.79,1.18,6.8,1805734.19,0.439710215,0.420765392,6.63,94.28,11.32,11.74,3.642442,8.57222,1.145264,3.425671,0.00067,2.45E+12,0.01176,8.00E-06,6.749,6.749285714,7.233333333,0.392258977,8.017851288,6.448815379,36.48648649,6.97576594,7.061945627,-0.086179686,0.00936497,-66.41791045,33.58208955,24.87562189,50.99502488,0.02,0.09,0,0.09,0.17,8.394160584,39.6593674,65.06329114,47.73047267,,5.88
