Date,Unnamed: 0,Id,Ts Code,Amount_x,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,Ret,PE,PB,PCF,PS,Turnover,CirculatedMarketValue,ChangeRatio,Liquidility,MA_5,MA_7,MA_21,20sd,upper_band,lower_band,RSI,EMA_12,EMA_26,MACD,Signal_Line,W%R,K,D,J,up_move,down_move,plus_dm,minus_dm,TR,plus_di,minus_di,DX,ADX,ADXR,momentum
6/9/2019,509,571,600519.SH,3189104.117,4.53483472,862.8411821,877.4402363,848.9344632,868.0610551,0.179367543,866.6850811,42331.64013,0.503692,0.95388,12.80559832,1.856749651,40.09227404,5,1.97169676,30.86841759,9.274327535,46.51165352,14.17401358,0.003813324,1.09E+12,0.005235079,3.00E-06,864.3084728,869.8346235,881.1934459,15.19169478,911.5768355,850.8100564,41.74742304,874.7844863,884.3441089,-9.559622603,-7.324545855,-81.70542566,18.29457434,14.25264379,26.37843546,0,0,0,0,28.50577316,13.87016731,19.90130044,17.85866452,13.00497422,20.23677606,861.8411821
6/10/2019,510,570,600519.SH,4790052.574,8.95,871.08,878.95,840,857.98,1.0381,862.13,55502.46,0.544686,0.780368,12.8,1.87,1.44,5,1.95447,31.083412,9.320014,46.932835,14.17432,0.00442,1.09E+12,0.01038,3.00E-06,864.2044728,866.846052,880.5324935,14.97191607,910.4763257,850.5886614,46.89752429,874.2145653,883.3615823,-9.147016985,-7.689040081,-63.41377281,36.58622719,24.39179196,60.97509766,1.509763665,8.934463179,0,8.934463179,38.95,13.22662594,18.76187037,17.30385939,11.7480882,18.97271489,870.08
6/11/2019,511,569,600519.SH,7209086.88,39.81,910.89,915.61,875,876,4.5702,871.08,80106.44,0.63794,0.501551,13.3,11.2,18.95,5.15,1.869051,32.503982,9.745956,49.077754,14.822113,0.00638,1.14E+12,0.0457,3.00E-06,873.9564728,871.9303377,881.2891602,16.43446349,914.1580872,848.4202332,57.22309877,879.8569399,885.4007243,-5.54378447,-7.259988959,-16.5509123,83.4490877,46.10996308,158.1273369,36.66,35,36.66,0,40.61,16.36459427,18.32947808,5.66345683,11.2362165,17.43334374,909.89
6/12/2019,512,568,600519.SH,3420899.273,-4.19,906.7,910.99,894,906.22,-0.46,910.89,37747.4,0.512167,0.418239,13.36,11.6,17.61,5.9,1.877688,32.354467,9.701126,48.852001,14.753933,0.003,1.14E+12,-0.0046,3.00E-06,882.8704728,876.9446235,882.1796364,16.68917867,915.5579937,848.8012791,48.12225186,883.9866414,886.9784485,-2.991807035,-6.406352574,-16.61457682,83.38542318,67.80691269,114.5424442,-4.62,19,0,19,16.99,12.10497009,25.12816547,34.97743391,12.37288825,17.55697461,905.7
6/13/2019,513,567,600519.SH,2984741.685,3.3,910,912.3,897,910,0.364,906.7,32917.42,0.53907,0.742918,13.24,11.9,16.8,5.8,1.870879,32.472224,9.736434,49.029801,14.807631,0.00262,1.14E+12,0.00364,3.00E-06,892.3022364,883.7831949,884.5129697,17.67565909,919.8642879,849.1616515,51.7353419,887.9886966,888.6837486,-0.695051984,-5.264092456,-7.419653485,92.58034652,86.47161913,104.7978013,1.31,3,0,3,15.3,12.61486176,26.12095694,34.86719948,13.91614982,17.56400844,909
6/14/2019,514,566,600519.SH,3905679.105,3,913,932.3,910.02,911,0.3297,910,42455.04,0.501553,0.000361,12.88,1.84,14.96,5.29,1.864732,32.579275,9.768532,49.191438,14.856447,0.00338,1.15E+12,0.0033,3.00E-06,902.334,891.0503377,886.1558269,18.38009277,922.9160124,849.3956413,59.34048083,891.8365894,890.4849524,1.351637038,-3.940946557,-20.91007584,79.08992416,85.01856462,67.23264325,20,13.02,20,0,22.28,18.56206755,25.32057971,15.40133193,14.21382204,17.40661194,912
6/15/2019,515,565,600519.SH,2993126.937,0.95,910.8,919.62,901.51,908.5,0.10535,909.85,32843.225,0.494271,0.566572,13.045,6.905,15.25,5.525,1.869237,32.500771,9.7449935,49.0729045,14.8206485,0.002615,1.14E+12,0.001055,2.50E-06,910.278,897.9015974,888.098684,19.10519412,926.3090723,849.8882958,55.20699409,894.7540372,891.9897707,2.764266476,-2.59990395,-23.2936078,76.7063922,82.79222096,64.53473468,-12.68,8.51,0,8.51,18.11,17.63672019,28.26980105,23.16246271,15.77696362,17.46913816,909.8
6/16/2019,516,564,600519.SH,3296679.509,4.2,915,926.15,906.31,914,0.46105,910.8,35948.21,0.545981,0.500002,12.83,1.9,14.88,5.25,1.860665,32.6506425,9.789931,49.299196,14.8889915,0.00286,1.15E+12,0.00461,2.50E-06,911.1,905.3528571,889.6105888,19.85977142,929.3301316,849.8910459,65.42385811,897.8688007,893.6942322,4.174568555,-1.245009449,-18.7432286,81.2567714,79.01769592,85.73492235,6.53,4.8,6.53,0,19.84,19.7227426,25.77159134,13.29582876,16.00794223,17.45827549,914
6/17/2019,517,563,600519.SH,3001512.189,-1.4,911.6,926.94,906.02,907,-0.1533,913,32769.03,0.494478,0.898924,12.85,1.91,13.7,5.25,1.867595,32.529318,9.753553,49.116008,14.833666,0.00261,1.15E+12,-0.00153,2.00E-06,912.08,911.1414286,891.1629697,20.41909725,932.0011642,850.3247752,59.90699555,899.9812929,895.0205853,4.96070758,-0.003866044,-22.42686891,77.57313109,78.51209823,75.69519682,0.79,0.29,0.79,0,20.92,19.61123613,23.53777465,9.099950273,16.35662089,16.89098923,910.6
6/18/2019,518,562,600519.SH,2687679.912,5.4,917,920,902.6,917,0.5924,911.6,29441.38,0.485892,0.99978,12.78,1.96,14.8,5.21,1.856598,32.72201,9.81133,49.406954,14.921536,0.00234,1.15E+12,0.00592,2.00E-06,913.48,912.0142857,892.5439221,20.71874136,933.9814048,851.1064394,73.795937,902.5995555,896.6486901,5.950865418,1.187080249,-16.57638137,83.42361863,80.75117371,88.76850849,-6.94,3.42,0,3.42,17.4,20.04313464,20.34074292,0.736948258,14.89947211,16.58143542,916
