userId,userName,gz_num,fs_num,intro,age
5.68E+15,蓝鲸财经,0,24465,专注财经新闻报道、财经事件解读。由国内多名资深媒体人担纲主编，第一时间财经新闻报道、财经事件解读，力推富有建设性的深度报道。,2年
2.47E+15,天天中签小萌新,0,6,这个人很懒，什么都没有留下,9个月
9.61E+15,hgf667788,7,370,新经济，人工智能，独角兽,6.4年
9.61E+15,hgf667788,7,370,新经济，人工智能，独角兽,6.4年
4.00E+15,发烧发到司法所,9,16,这个人很懒，什么都没有留下,5.4年
4.38E+15,天龙八部ZJ777,29,0,这个人很懒，什么都没有留下,6.3年
1.20E+15,股友蓝胖子,9,4319,蓝胖子每日紫金复盘,2.6年
5.68E+15,蓝鲸财经,0,24465,专注财经新闻报道、财经事件解读。由国内多名资深媒体人担纲主编，第一时间财经新闻报道、财经事件解读，力推富有建设性的深度报道。,2年
8.46E+15,金刚骑红牛,3,0,这个人很懒，什么都没有留下,1.2年
5.56E+15,华哥哥来牵牛了,3,16,这个人很懒，什么都没有留下,6个月
2.00E+15,追逐梦想999,1,5,每次只做一只股,6.7年
4.83E+15,最保险,0,18,这个人很懒，什么都没有留下,7个月
1.00E+15,国际金融报,0,58277,人民日报旗下权威金融媒体。,4.4年
2.59E+15,迪丽热哥,41,2990,看透真相的吃面群众,2.8年
5.89E+15,股友9h21S89223,6,6,这个人很懒，什么都没有留下,8个月
6.65E+15,今日保,0,26724,由保险公司高管、资深传媒人出身的创始人基于对中国保险行业的深刻理解发起成立，深耕保险一线市场，试图还原一个真实的保险市场。,3.1年
6.90E+15,冬自由飞翔,6,67,,5年
1.97E+15,天下银保,0,116,《国际金融报》金融中心出品，每日聚焦行业大事，及时提供热点资讯。,1年
1.70E+15,敬畏市场6,15,7,顺势而为,2.2年
8.98E+15,小胖丶Yaeru,0,0,这个人很懒，什么都没有留下,11个月
9.35E+15,股友k2Z3P6,2,6,这个人很懒，什么都没有留下,8个月
9.35E+15,股友k2Z3P6,2,6,这个人很懒，什么都没有留下,8个月
1.75E+15,酸酸甜甜都是我,3,3,o,11个月
4.99E+15,我的酸naine,1,3,这个人很懒，什么都没有留下,2.2年
3.42E+15,紫华安,0,27,这个人很懒，什么都没有留下,2.1年
